Bases Occupied by Squadron and Date								
				Date of Arrival on Base				
Country	Service	Squadron	Base	Day	Month	Year	Service Calculation	Notes
Britain	RFC	1	Netheravon	13	11	1914	RFC	
Britain	RFC	1	St-Omer	7	3	1915	RFC	
Britain	RFC	1	Bailleul	29	3	1915	RFC	
Britain	RFC	1	Ste-Marie-Cappel	29	3	1918	RFC	
Britain	RAF	1	Clairmarais South	13	4	1918	RAF	
Britain	RAF	1	Fienvillers	5	8	1918	RAF	
Britain	RAF	1	Senlis-le-Sec	6	10	1918	RAF	
Britain	RAF	1	Bouvincourt	26	10	1918	RAF	
Britain	RFC	2	Swingate Down	12	8	1914	RFC	
Britain	RFC	2	Amiens	13	8	1914	RFC	
Britain	RFC	2	Maubeuge	16	8	1914	RFC	
Britain	RFC	2	Berliamont	24	8	1914	RFC	
Britain	RFC	2	Le Cateau	25	8	1914	RFC	
Britain	RFC	2	St-Quentin	25	8	1914	RFC	
Britain	RFC	2	La Fere	26	8	1914	RFC	
Britain	RFC	2	Compiegne	28	8	1914	RFC	
Britain	RFC	2	Senlis	30	8	1914	RFC	
Britain	RFC	2	Juilly	31	8	1914	RFC	
Britain	RFC	2	Serries	2	9	1914	RFC	
Britain	RFC	2	Touquin	3	9	1914	RFC	
Britain	RFC	2	Melun	4	9	1914	RFC	
Britain	RFC	2	Touquin	7	9	1914	RFC	
Britain	RFC	2	Coulommiers	9	9	1914	RFC	
Britain	RFC	2	Fee-en Tardenois	12	9	1914	RFC	
Britain	RFC	2	St-Omer	17	10	1914	RFC	
Britain	RFC	2	Merville	27	11	1914	RFC	
Britain	RFC	2	Hesdigneul	30	6	1915	RFC	
Britain	RAF	2	Floringham	9	6	1918	RAF	
Britain	RAF	2	Mazingarbe	20	10	1918	RAF	
Britain	RAF	2	Genech	26	10	1918	RAF	
Britain	RFC	3	Swingate Down	12	8	1914	RFC	
Britain	RFC	3	Amiens	13	8	1914	RFC	
Britain	RFC	3	Maubeuge	16	8	1914	RFC	
Britain	RFC	3	Le Cateau	24	8	1914	RFC	
Britain	RFC	3	St-Quentin	25	8	1914	RFC	
Britain	RFC	3	La Fere	26	8	1914	RFC	
Britain	RFC	3	Compiegne	28	8	1914	RFC	
Britain	RFC	3	Senlis	30	8	1914	RFC	
Britain	RFC	3	Juilly	31	8	1914	RFC	
Britain	RFC	3	Serris	2	9	1914	RFC	
Britain	RFC	3	Touquin	3	9	1914	RFC	
Britain	RFC	3	Melun	4	9	1914	RFC	
Britain	RFC	3	Touquin	7	9	1914	RFC	
Britain	RFC	3	Coulommiers	9	9	1914	RFC	
Britain	RFC	3	Fere-en-Tardenois	12	9	1914	RFC	
Britain	RFC	3	Amiens	5	10	1914	RFC	
Britain	RFC	3	Abbeville	8	10	1914	RFC	
Britain	RFC	3	Moyenneville	9	10	1914	RFC	
Britain	RFC	3	St-Omer	12	10	1914	RFC	
Britain	RFC	3	Gonneham	24	11	1914	RFC	
Britain	RFC	3	Lozinghem	1	6	1915	RFC	
Britain	RFC	3	Bruay	16	3	1916	RFC	
Britain	RFC	3	Bertangles	1	4	1916	RFC	
Britain	RFC	3	Lahoussoye	10	4	1916	RFC	
Britain	RFC	3	Lavieville	23	1	1917	RFC	
Britain	RFC	3	Longavesnes	15	7	1917	RFC	
Britain	RFC	3	Lechelle	24	8	1917	RFC	
Britain	RFC	3	Warloy	10	10	1917	RFC	
Britain	RFC	3	Vert Galand	25	3	1918	RFC	
Britain	RFC	3	Valheureux	26	3	1918	RFC	
Britain	RAF	3	Lechelle	15	10	1918	RAF	
Britain	RAF	3	Inchy	4	11	1918	RAF	
Britain	RFC	4	Netheravon	1	8	1914	RFC	
Britain	RFC	4	Amiens	13	8	1914	RFC	
Britain	RFC	4	Swingate	1	8	1914	RFC	
Britain	RFC	4	Maubeuge	16	8	1914	RFC	
Britain	RFC	4	Le Cateau	24	8	1914	RFC	
Britain	RFC	4	St-Quentin	25	8	1914	RFC	
Britain	RFC	4	La Fere	26	8	1914	RFC	
Britain	RFC	4	Compiegne	28	8	1914	RFC	
Britain	RFC	4	Senlis	30	8	1914	RFC	
Britain	RFC	4	Juilly	31	8	1914	RFC	
Britain	RFC	4	Serris	2	9	1914	RFC	
Britain	RFC	4	Touquin	3	9	1914	RFC	
Britain	RFC	4	Melun	4	9	1914	RFC	
Britain	RFC	4	Touquin	7	9	1914	RFC	
Britain	RFC	4	Coulommiers	9	9	1914	RFC	
Britain	RFC	4	Fere-en-Tardenois	12	9	1914	RFC	
Britain	RFC	4	Amiens	6	10	1914	RFC	
Britain	RFC	4	Abbeville	8	10	1914	RFC	
Britain	RFC	4	Moyenneville	9	10	1914	RFC	
Britain	RFC	4	St-Omer	12	10	1914	RFC	
Britain	RFC	4	Bailleul	21	4	1915	RFC	
Britain	RFC	4	Vert Galand	20	7	1915	RFC	
Britain	RFC	4	Baizieux	5	8	1915	RFC	
Britain	RFC	4	Allonville	7	11	1915	RFC	
Britain	RFC	4	Baizieux	1	2	1916	RFC	
Britain	RFC	4	Marieux	1	2	1916	RFC	
Britain	RFC	4	Baizieux	27	3	1916	RFC	
Britain	RFC	4	Warloy	28	2	1917	RFC	
Britain	RFC	4	Abeele	30	5	1917	RFC	
Britain	RFC	4	Chocques	18	11	1917	RFC	
Britain	RAF	4	Treizennes	8	4	1918	RAF	
Britain	RAF	4	St-Omer	16	4	1918	RAF	
Britain	RAF	4	Ste-Marie-Cappel	18	9	1918	RAF	
Britain	RAF	4	Linselles	21	10	1918	RAF	
Britain	RAF	4	Ascq	16	11	1918	RAF	
Britain	RFC	5	Swingate Down	14	8	1914	RFC	
Britain	RFC	5	Amiens	15	8	1914	RFC	
Britain	RFC	5	Maubeuge	18	8	1914	RFC	
Britain	RFC	5	Le Cateau	24	8	1914	RFC	
Britain	RFC	5	St-Quentin	25	8	1914	RFC	
