Journal	Vol	#	Title	Part	Subtitle	Notes
OTF	1	1	Fierce Days and Nights in Flanders			
			Jack Malone		The First Ace of Naval 3	
			Hans Pippart		An Ace From Baden	
			Combat History of Groupe de Combat 23			
			No Greater Love		The Story of Lt Wilbur White	
			The Ordeal of Alan Winslow			
			Summary of the Career of Silvio Scaroni			
			Colors		Nieuport 17s in Italy	
			Mentioned in Despatches			
			Taps			
			Between the Bookends			
OTF	1	2	L'Escadrille SPA 163			
			Caporetto	1	The Breakthrough	
			Individual Markings of No 64 Squadron RFC/RAF			
			"No 4 Squadron, Australian Flying Corps"			
			Smuggled German Aircraft		
			Jean Bourjade		The Pilot of St Thérése
			Hans-Gerd Rabe		"In Memoriam, 1895-1986"
			Plumage		"The Hard Luck Escadrille: Marking and Short History of SPA 159 ""Le Poing"""
			Mentioned in Despatches		
			Taps		
			Between the Bookends		
OTF	1	3	Leutnant der Reserve otto Brauneck	2	
			The War Diary and Letters of Walter L Avery		95th Aero Squadron
			"The War Diary and Letters of Lansing C Holden, Jr"		95th Aero Squadron Ace
			Caporetto	2	Retreat and Recovery
			Plumage		"17th Aero Squadron USAS ""The Snow Owls"""
			Mentioned in Despatches		
			Taps		
			Between the Bookends		
OTF	1	4	Carroll Dana Winslow		
			Groupe de Bombardement 1		A History
			A Brief Photo Essay of the Sopwith Snipe 7F.1		
			Bohumil Munzar		
			The Final Dogfight of the Red Baron		
			Caporetto	3	The Aftermath
			"A Collector's ""Flea Market Find"""		
			How I Won My Wings		
			Plumage		
			Mentioned in Despatches		
			Taps		
			Between the Bookends		
OTF	2	1	L'Escadrille SPA 154		
			A Brief History of Escadrille AR 258		
			The Original Flying Circus		The Combat Log of Royal Prussian Jadgstaffel 11
			Observations Over the Italian Front		
			A Winged Crusader Over Palestine		"Lt J E Atkinson, 14 Squadron RFC"
			"Jonathan P Glasby, Jr"		2nd Lt F.A and 278th Squadron
			Flying with 20		The Wartime Experiences of John Metcalf Purcell
			"A Short Time in the Air, a Short Time in Prison"		"Frederick Vernon Foster, 91st Aero Squadron USAS"
			"Outline of Italian Military Air Service Organization, May 1915"		
			Gottfried von Bansfeld		"The Eagle of Trieste: In Memoriam, 1890-1986"
			"Willy Coppens, Baron de Houthulst"		In Memoriam 1892 - 1987
			Plumage		Escadrille SPA 154
			Mentioned in Despatches		
